,log2FC,padj
LOC_Os03g51240,3.707359132,4.84716E-07
LOC_Os06g02530,3.690079207,1.72674E-09
LOC_Os07g32710,3.690044547,3.5867E-44
LOC_Os02g43740,3.677132345,5.13596E-17
LOC_Os04g50770,3.664689693,5.13596E-17
LOC_Os03g08600,3.652425468,3.20806E-24
LOC_Os01g14670,3.648857513,3.68612E-66
LOC_Os07g02880,3.648288436,1.69515E-06
LOC_Os03g11420,3.63420602,3.15944E-06
LOC_Os12g31860,3.63420602,1.69515E-06
LOC_Os03g15190,3.633129783,3.15944E-06
LOC_Os02g40100,3.62881679,3.74764E-19
LOC_Os08g02180,3.602664502,3.15944E-06
LOC_Os08g16670,3.600904045,5.87424E-06
LOC_Os03g57640,3.594181031,4.1134E-11
LOC_Os12g25280,3.584962501,3.15944E-06
LOC_Os01g54620,3.544842192,1.8219E-54
LOC_Os04g48870,3.516015147,3.81816E-08
LOC_Os01g03390,3.491274645,3.0658E-203
LOC_Os03g16960,3.487208032,7.48648E-35
LOC_Os05g19010,3.472068444,1.08931E-05
LOC_Os12g38400,3.469296239,6.18004E-32
LOC_Os02g55410,3.468769483,7.0532E-08
LOC_Os02g35970,3.448984831,2.86096E-33
LOC_Os04g29090,3.438573014,1.30024E-07
LOC_Os06g05930,3.431950882,6.39882E-36
LOC_Os08g38800,3.415037499,2.39174E-07
LOC_Os06g47620,3.415037499,5.78858E-16
LOC_Os01g04300,3.388697107,2.39174E-07
LOC_Os01g02010,3.386736391,2.97276E-09
LOC_Os10g32980,3.377840238,1.19269E-74
LOC_Os07g18154,3.375638682,1.94177E-15
LOC_Os01g36390,3.365649472,2.39174E-07
LOC_Os03g50560,3.361066489,7.29722E-55
LOC_Os08g41890,3.355480655,4.38942E-07
LOC_Os07g41320,3.352516415,6.82306E-05
LOC_Os04g39150,3.352210662,3.71336E-05
LOC_Os07g27359,3.347923303,6.82306E-05
LOC_Os01g58290,3.341152662,4.18848E-37
LOC_Os06g11490,3.333273068,1.11051E-74
LOC_Os05g37970,3.332983283,2.30642E-10
LOC_Os10g39840,3.328470941,6.82306E-05
LOC_Os02g08270,3.32486937,6.93662E-11
LOC_Os03g17850,3.312384322,2.82054E-20
LOC_Os04g50760,3.309855263,6.82306E-05
LOC_Os03g50960,3.302299288,6.82306E-05
LOC_Os09g32944,3.290677161,8.03614E-07
LOC_Os11g17540,3.287162677,0.00012492
LOC_Os06g49000,3.269033146,5.43462E-12
LOC_Os09g39050,3.256339753,1.46747E-06
LOC_Os02g43970,3.213271031,7.61682E-10
LOC_Os05g38230,3.212360268,1.84327E-14
LOC_Os02g14680,3.207399707,7.61682E-10
LOC_Os05g44630,3.190864339,5.99166E-08
LOC_Os08g32160,3.18839175,4.25222E-13
LOC_Os01g65630,3.181329765,0.00012492
LOC_Os06g21230,3.158989524,3.29984E-08
LOC_Os09g25490,3.15664348,2.8748E-49
LOC_Os11g47500,3.145850866,4.85272E-06
LOC_Os06g46030,3.139930261,5.8502E-11
LOC_Os10g33520,3.136136688,1.96158E-07
LOC_Os11g17970,3.12910142,5.53342E-64
LOC_Os10g38740,3.124891248,1.05537E-10
LOC_Os04g45950,3.117457582,1.62085E-09
LOC_Os06g46740,3.113890967,1.05537E-10
LOC_Os01g68510,3.108524457,8.78462E-06
LOC_Os04g32800,3.07373665,2.5978E-25
LOC_Os08g37840,3.060784509,3.41644E-10
LOC_Os08g34300,3.056583528,1.50601E-14
LOC_Os12g40900,3.055282436,3.53598E-07
LOC_Os07g47750,3.048315554,4.6522E-25
LOC_Os05g47700,3.036886505,8.10434E-66
LOC_Os10g22310,3.032421478,3.53598E-07
LOC_Os01g71840,3.029747343,6.35702E-07
LOC_Os01g65210,3.014093519,1.37022E-48
LOC_Os05g42190,3.011972642,6.35702E-07
LOC_Os08g14000,3.005143303,3.30144E-29
LOC_Os05g31750,2.984285529,7.9841E-151
LOC_Os06g33170,2.980891177,1.13966E-06
LOC_Os04g55740,2.969227651,3.56126E-12
LOC_Os02g48570,2.966833136,3.2375E-11
LOC_Os12g36750,2.942666825,6.31732E-17
LOC_Os03g02580,2.930737338,3.74216E-14
LOC_Os03g11734,2.922320636,6.22716E-09
LOC_Os08g43270,2.915365255,2.02954E-35
LOC_Os05g29790,2.912537159,6.22716E-09
LOC_Os02g37800,2.906264562,6.71302E-80
LOC_Os01g18240,2.905313017,5.11782E-15
LOC_Os10g13850,2.89819249,5.19828E-24
LOC_Os01g01019,2.893834443,5.10438E-05
LOC_Os07g23660,2.87313019,3.62982E-06
LOC_Os01g51840,2.871485259,2.0371E-06
LOC_Os08g31980,2.861293729,3.62982E-06
LOC_Os07g23640,2.861293729,6.28194E-11
LOC_Os06g36560,2.856767116,2.3587E-105
LOC_Os06g08580,2.856704838,1.5984E-14
LOC_Os12g08980,2.844721775,9.10582E-05
LOC_Os04g53760,2.83824893,3.52528E-21
LOC_Os10g26670,2.825785627,8.4422E-12
LOC_Os03g13570,2.807354922,0.000161733
LOC_Os11g14160,2.807354922,5.20714E-16
LOC_Os04g49210,2.802478202,5.56586E-65
LOC_Os02g38120,2.794082565,5.50738E-18
LOC_Os03g32790,2.787270676,2.01148E-05
LOC_Os12g36890,2.784271309,9.10582E-05
LOC_Os01g62490,2.782901878,0.000161733
LOC_Os03g14030,2.772795265,9.2165E-95
LOC_Os04g24110,2.770605736,3.03264E-25
LOC_Os02g49720,2.770518154,6.27522E-22
LOC_Os02g04755,2.756074417,1.95536E-10
LOC_Os12g41660,2.744958385,8.01102E-09
LOC_Os05g39850,2.700439718,0.000035325
LOC_Os05g39800,2.696930932,2.24908E-19
LOC_Os06g45940,2.696694078,1.88614E-22
LOC_Os03g61780,2.693022247,2.55402E-06
LOC_Os03g48780,2.689137069,2.11884E-17
LOC_Os05g28520,2.687167361,1.60115E-15
LOC_Os03g19090,2.684498174,3.22562E-09
LOC_Os06g03640,2.684305029,2.05142E-56
LOC_Os04g34180,2.681366985,0.000035325
LOC_Os05g12630,2.676460855,1.26967E-25
LOC_Os01g46120,2.671033451,3.6651E-13
LOC_Os10g02070,2.665477106,1.17559E-57
LOC_Os01g11550,2.655351829,5.6131E-09
LOC_Os11g43590,2.650764559,8.26988E-07
LOC_Os06g37150,2.63947666,2.1643E-233
LOC_Os06g25010,2.636820546,4.32914E-24
LOC_Os03g07920,2.626782676,9.7444E-09
LOC_Os10g22520,2.619574444,1.4599E-242
LOC_Os12g36780,2.604862058,8.26988E-07
LOC_Os03g04680,2.602828922,9.63398E-34
LOC_Os06g13210,2.600904045,7.44332E-08
LOC_Os12g26880,2.597137215,1.70105E-10
LOC_Os06g29220,2.580737915,3.1053E-17
LOC_Os04g55270,2.566054038,9.96316E-07
LOC_Os01g52250,2.561002003,0
LOC_Os09g32470,2.555856709,3.7302E-27
LOC_Os01g15320,2.555734707,1.43445E-21
LOC_Os07g04190,2.554588852,8.72028E-10
LOC_Os07g31500,2.551409941,2.88448E-18
LOC_Os01g04050,2.541060077,7.7799E-157
LOC_Os12g38360,2.537797393,6.73342E-11
LOC_Os05g42130,2.5360529,2.97866E-06
LOC_Os03g03164,2.526209913,5.0211E-08
LOC_Os11g37950,2.521970846,1.23987E-20
LOC_Os04g39840,2.518856759,1.49436E-34
LOC_Os08g40060,2.517848305,1.13303E-08
LOC_Os03g27230,2.516114704,3.8979E-168
LOC_Os02g21090,2.51340924,2.97866E-06
LOC_Os07g31870,2.513069582,3.8491E-07
LOC_Os03g29920,2.506352666,8.13544E-13
LOC_Os01g18744,2.506352666,3.40106E-15
LOC_Os08g17410,2.50589093,1.03695E-11
LOC_Os03g02460,2.505699222,6.6158E-07
LOC_Os02g56510,2.502500341,1.94075E-08
LOC_Os03g42600,2.502173902,6.5979E-09
LOC_Os10g23820,2.496567385,7.33138E-14
LOC_Os05g31760,2.490411482,3.26764E-67
LOC_Os02g45270,2.479609501,5.12302E-06
LOC_Os04g27750,2.453457718,2.56404E-09
LOC_Os07g33480,2.449307401,4.38114E-09
LOC_Os01g54670,2.443542746,1.20569E-22
LOC_Os01g08810,2.438573014,2.52374E-07
LOC_Os05g48270,2.429829607,8.85086E-35
LOC_Os09g38110,2.422942697,8.7779E-06
LOC_Os08g41880,2.417289951,1.85318E-17
LOC_Os09g23300,2.414351645,5.8397E-19
LOC_Os09g27750,2.414116428,0
LOC_Os05g02070,2.412535993,9.19158E-58
LOC_Os09g36250,2.412368313,3.51138E-49
LOC_Os07g48830,2.409099158,1.86748E-80
LOC_Os06g12610,2.408464845,2.86402E-09
LOC_Os03g51580,2.401205226,2.29654E-16
LOC_Os08g38270,2.399930607,6.88702E-05
LOC_Os12g07810,2.390789953,1.49807E-05
LOC_Os04g10940,2.389441183,5.64862E-08
LOC_Os02g13600,2.387219555,9.59634E-08
LOC_Os05g03070,2.386058432,1.48114E-05
LOC_Os07g47480,2.385121921,3.29242E-06
LOC_Os11g25260,2.378650685,1.22324E-41
LOC_Os11g14150,2.373458396,4.84926E-09
LOC_Os06g13600,2.37036845,7.2931E-07
LOC_Os02g26670,2.361707997,3.64122E-08
LOC_Os07g35510,2.360316924,3.83808E-48
LOC_Os10g23050,2.359081093,0.00011746
LOC_Os05g42210,2.358686645,5.58072E-06
LOC_Os10g31320,2.347122177,1.83567E-18
LOC_Os03g57460,2.344166609,1.12378E-12
LOC_Os10g25090,2.343623166,2.02362E-21
LOC_Os02g36595,2.340737945,3.79248E-41
LOC_Os04g01960,2.33804776,2.54598E-05
LOC_Os02g09930,2.329705445,7.03706E-10
LOC_Os06g47800,2.321928095,5.22322E-09
LOC_Os03g60190,2.318718538,3.19612E-14
LOC_Os05g04380,2.313022542,1.117E-105
LOC_Os06g08090,2.300509111,1.71739E-42
LOC_Os02g57310,2.295455884,4.62126E-07
LOC_Os10g41060,2.290296486,6.75626E-24
LOC_Os06g02800,2.290155749,5.22322E-09
LOC_Os01g27590,2.290102649,2.07952E-06
LOC_Os09g39230,2.287980763,6.88702E-05
LOC_Os05g03610,2.28442246,8.50674E-62
LOC_Os03g03600,2.283792966,1.25993E-22
LOC_Os03g22200,2.277609745,2.81852E-21
LOC_Os09g24590,2.27183609,1.01794E-20
LOC_Os01g22640,2.270922315,9.74478E-37
LOC_Os08g36760,2.269866439,3.86252E-11
LOC_Os07g46320,2.269741875,8.747E-09
LOC_Os02g15120,2.261009976,3.86252E-11
LOC_Os01g01660,2.256339753,3.49264E-06
LOC_Os12g41720,2.254661225,8.11028E-16
LOC_Os12g07480,2.249978253,1.461E-08
LOC_Os06g33549,2.247927513,7.25526E-05
LOC_Os06g12280,2.246639968,1.29669E-06
LOC_Os01g16120,2.24607434,7.25526E-05
LOC_Os06g04090,2.245836146,1.27308E-12
LOC_Os06g47930,2.2410081,6.88834E-21
LOC_Os05g09724,2.237767647,2.89402E-07
LOC_Os06g24990,2.236267496,3.8841E-08
LOC_Os03g04660,2.235407005,9.70404E-15
LOC_Os06g07790,2.226350435,9.23466E-12
LOC_Os08g39860,2.212844438,6.57626E-38
LOC_Os05g48900,2.19926399,2.54434E-69
LOC_Os07g44090,2.194647431,0.000121592
LOC_Os08g39870,2.19286936,1.79498E-17
LOC_Os01g48130,2.191760803,0.000121592
LOC_Os06g01760,2.191150668,8.625E-114
LOC_Os06g47820,2.189033824,0.000121592
LOC_Os07g33700,2.185355042,2.9734E-07
LOC_Os03g50030,2.181240315,1.51337E-08
LOC_Os06g01966,2.17734899,3.40012E-54
LOC_Os03g18170,2.172339554,6.09532E-27
LOC_Os08g04310,2.170172738,3.3086E-28
LOC_Os03g05290,2.164585968,6.3531E-157
LOC_Os02g01380,2.155517578,1.45843E-23
LOC_Os01g67630,2.152223,1.49108E-15
LOC_Os03g57200,2.148720509,1.61641E-05
LOC_Os07g48980,2.145799104,2.99764E-10
LOC_Os01g29150,2.143735477,3.42292E-20
LOC_Os08g33940,2.139336682,2.99764E-10
LOC_Os03g32470,2.138590027,8.806E-12
LOC_Os05g06920,2.133386708,1.804E-115
LOC_Os06g42560,2.130860787,9.30724E-79
LOC_Os06g50950,2.127444017,4.2387E-11
LOC_Os03g06350,2.124545098,7.33644E-05
LOC_Os05g38120,2.12389647,4.2387E-11
LOC_Os08g34280,2.120838351,1.03259E-82
LOC_Os05g36010,2.110921814,2.47124E-15
LOC_Os09g25100,2.1081299,2.15956E-20
LOC_Os05g51160,2.106422059,2.60912E-11
LOC_Os01g54300,2.105794664,2.67116E-05
LOC_Os03g38540,2.098223536,1.71575E-07
LOC_Os07g35480,2.096344962,1.4893E-139
LOC_Os11g07890,2.096215315,1.82246E-10
LOC_Os06g21240,2.094255158,1.17428E-21
LOC_Os01g52240,2.088167231,0
LOC_Os08g06380,2.088085184,1.4691E-129
LOC_Os01g70180,2.088040035,9.7923E-12
LOC_Os04g53820,2.087462841,5.67016E-09
LOC_Os02g11720,2.087462841,9.77318E-06
LOC_Os06g12060,2.08453351,0.000121106
LOC_Os12g22284,2.08453351,4.25812E-11
LOC_Os09g15790,2.081388327,0.000121106
LOC_Os03g54130,2.076260875,0
LOC_Os06g20920,2.072459192,1.84797E-10
LOC_Os08g33210,2.071258683,4.39416E-05
LOC_Os07g42610,2.069499736,1.60074E-11
LOC_Os08g23180,2.067363833,2.88108E-44
LOC_Os04g32850,2.067352141,0
LOC_Os01g55940,2.065006131,1.72371E-49
LOC_Os01g65790,2.05264148,7.9784E-07
LOC_Os01g16200,2.052196211,1.60324E-05
LOC_Os05g35594,2.046096415,2.16178E-06
LOC_Os09g20880,2.046012398,4.25776E-05
LOC_Os01g09540,2.045655143,1.7071E-209
LOC_Os05g04820,2.044394119,1.82805E-10
LOC_Os04g03980,2.044394119,2.9526E-07
LOC_Os04g34170,2.043226103,9.24418E-20
LOC_Os01g74490,2.039770529,1.60324E-05
LOC_Os02g54060,2.035405336,2.43774E-19
LOC_Os04g54810,2.033630778,2.9526E-07
LOC_Os10g16974,2.02994762,2.72842E-68
LOC_Os10g40810,2.02666795,2.61864E-05
LOC_Os12g38660,2.024836538,1.79575E-07
LOC_Os03g52070,2.024247546,3.58728E-06
LOC_Os09g17740,2.021988369,0
LOC_Os01g65460,2.014355293,0.000189933
LOC_Os01g67240,2.005373172,1.27635E-09
LOC_Os12g39360,1.998762166,1.96162E-56
LOC_Os10g37290,1.994004821,2.95836E-10
LOC_Os07g38590,1.984893108,1.06539E-07
LOC_Os05g27304,1.980597469,1.23188E-20
LOC_Os05g14880,1.980477442,4.25776E-05
LOC_Os01g54590,1.97924144,0.000117202
LOC_Os07g01620,1.976863501,4.25776E-05
LOC_Os03g53860,1.971563951,1.5927E-115
LOC_Os06g34730,1.97016477,5.7038E-06
LOC_Os04g26870,1.969857127,8.5654E-20
LOC_Os03g46660,1.967653723,4.09782E-26
LOC_Os07g37156,1.967432138,0.000117202
LOC_Os05g08554,1.966079923,4.54928E-81
LOC_Os04g35140,1.954594021,9.15778E-27
LOC_Os11g25330,1.953096556,2.49754E-35
LOC_Os09g07350,1.951040849,2.78174E-29
LOC_Os08g35710,1.939208316,6.89012E-05
LOC_Os03g14010,1.934734229,1.18779E-09
LOC_Os06g06780,1.931791444,4.60592E-54
LOC_Os02g46830,1.9274875,2.51344E-05
LOC_Os03g59340,1.925562966,8.15388E-27
LOC_Os05g05060,1.92320169,4.1055E-47
LOC_Os09g20980,1.91753784,1.48114E-05
LOC_Os06g46284,1.914584987,1.00681E-21
LOC_Os07g40690,1.914080974,1.22701E-19
LOC_Os04g44850,1.913763858,9.27896E-22
LOC_Os03g11650,1.913709559,1.17824E-56
LOC_Os01g38610,1.90877524,1.9559E-99
LOC_Os01g25560,1.908065907,1.18779E-09
