,log2FC,padj
LOC_Os07g49114,-0.622694078,0.0001
LOC_Os04g43390,-0.623197868,0.00035
LOC_Os03g27960,-0.624441677,0.00015
LOC_Os06g30970,-0.62510399,5.00E-05
LOC_Os12g44070,-0.625558435,0.02215
LOC_Os10g41870,-0.625952161,0.00275
LOC_Os02g41840,-0.627481851,0.00135
LOC_Os06g14490,-0.627954856,5.00E-05
LOC_Os03g25920,-0.629384711,0.01235
LOC_Os04g47970,-0.62941869,5.00E-05
LOC_Os08g08650,-0.629712969,0.01875
LOC_Os08g41390,-0.630675034,0.00045
LOC_Os01g71590,-0.630934361,0.0119
LOC_Os01g56460,-0.630948055,0.01965
LOC_Os08g42960,-0.631453311,5.00E-05
LOC_Os07g03849,-0.631466118,0.00185
LOC_Os08g06100,-0.631562677,5.00E-05
LOC_Os11g37230,-0.632319358,5.00E-05
LOC_Os02g56110,-0.632323883,0.0006
LOC_Os05g46510,-0.632375915,5.00E-05
LOC_Os01g41750,-0.632730604,5.00E-05
LOC_Os09g32840,-0.633351373,0.0006
LOC_Os07g17330,-0.633434076,0.00055
LOC_Os07g42960,-0.634101579,5.00E-05
LOC_Os09g29660,-0.634655937,5.00E-05
LOC_Os02g58139,-0.634879241,5.00E-05
LOC_Os07g23280,-0.635533056,0.00095
LOC_Os01g04050,-0.637127491,5.00E-05
LOC_Os11g09970,-0.637405816,0.0147
LOC_Os07g48010,-0.637726844,0.0001
LOC_Os11g37390,-0.638043628,0.01345
LOC_Os03g15270,-0.638472156,0.0002
LOC_Os02g14430,-0.638782707,5.00E-05
LOC_Os01g37920,-0.639050757,0.0004
LOC_Os10g34440,-0.640463185,0.01545
LOC_Os05g37130,-0.641514573,5.00E-05
LOC_Os09g26730,-0.641703602,5.00E-05
LOC_Os05g27340,-0.642376718,0.0004
LOC_Os02g32490,-0.642562457,5.00E-05
LOC_Os02g24100,-0.643047541,0.00045
LOC_Os04g54360,-0.643325525,5.00E-05
LOC_Os04g52780,-0.643518507,0.0051
LOC_Os04g58870,-0.643891469,5.00E-05
LOC_Os07g09670,-0.644494055,0.0004
LOC_Os02g07670,-0.645358442,0.0039
LOC_Os03g20970,-0.646161333,0.01135
LOC_Os01g62790,-0.646941729,0.00625
LOC_Os02g48190,-0.647782368,0.0005
LOC_Os11g05980,-0.64797079,0.00135
LOC_Os03g16170,-0.648721754,0.00015
LOC_Os09g36976,-0.650059486,0.00085
LOC_Os11g34080,-0.650386595,0.00255
LOC_Os06g05740,-0.651226035,0.0001
LOC_Os03g27003,-0.65200971,0.0121
LOC_Os12g20410,-0.652262482,5.00E-05
LOC_Os01g53040,-0.652488605,0.0072
LOC_Os02g43906,-0.652769865,5.00E-05
LOC_Os05g50200,-0.654078003,0.00865
LOC_Os09g32526,-0.654300898,5.00E-05
LOC_Os12g06020,-0.65446985,5.00E-05
LOC_Os07g28850,-0.654809792,5.00E-05
LOC_Os07g38250,-0.654959633,0.0052
LOC_Os03g58040,-0.655349795,5.00E-05
LOC_Os08g28190,-0.655718527,0.0001
LOC_Os08g29570,-0.656616715,5.00E-05
LOC_Os11g30760,-0.658094056,0.0003
LOC_Os04g59150,-0.658641555,5.00E-05
LOC_Os09g29940,-0.658784544,0.0001
LOC_Os04g52250,-0.65963495,5.00E-05
LOC_Os09g39650,-0.660031887,5.00E-05
LOC_Os01g24490,-0.660278157,0.0003
LOC_Os01g70080,-0.661060811,5.00E-05
LOC_Os11g44940,-0.661811455,5.00E-05
LOC_Os01g66530,-0.664465625,0.0006
LOC_Os04g47890,-0.665196456,0.01525
LOC_Os01g57073,-0.66632699,5.00E-05
LOC_Os08g04110,-0.666797204,0.0002
LOC_Os03g62200,-0.667293118,5.00E-05
LOC_Os04g06590,-0.667451936,0.00105
LOC_Os02g10650,-0.667803416,0.00015
LOC_Os02g27960,-0.668056563,0.00305
LOC_Os11g14990,-0.66818102,0.01015
LOC_Os04g37490,-0.669373813,5.00E-05
LOC_Os06g38970,-0.669905856,0.0002
LOC_Os10g37170,-0.670508523,0.00105
LOC_Os01g06740,-0.670595253,0.00765
LOC_Os08g07890,-0.672562324,5.00E-05
LOC_Os11g29870,-0.673203491,5.00E-05
LOC_Os01g72009,-0.67359038,5.00E-05
LOC_Os02g02730,-0.673823547,0.0003
LOC_Os08g10550,-0.674309391,0.0007
LOC_Os04g50860,-0.675355133,5.00E-05
LOC_Os03g08320,-0.676476537,5.00E-05
LOC_Os05g19040,-0.677026706,0.0036
LOC_Os09g39940,-0.677232006,5.00E-05
LOC_Os04g45970,-0.679363571,5.00E-05
LOC_Os06g49430,-0.67956751,5.00E-05
LOC_Os11g24570,-0.67963353,0.00215
LOC_Os11g02440,-0.679887263,0.0035
LOC_Os03g55660,-0.679981703,0.00435
LOC_Os03g27080,-0.681129445,5.00E-05
LOC_Os11g44870,-0.681288987,5.00E-05
LOC_Os01g16260,-0.682097566,5.00E-05
LOC_Os01g58890,-0.682651001,5.00E-05
LOC_Os02g51610,-0.682686089,5.00E-05
LOC_Os01g73170,-0.683107484,5.00E-05
LOC_Os08g39150,-0.683181167,5.00E-05
LOC_Os03g47810,-0.683309229,5.00E-05
LOC_Os09g26780,-0.683562554,0.00075
LOC_Os03g41229,-0.68451108,0.00055
LOC_Os03g10790,-0.684871476,0.0005
LOC_Os01g48910,-0.685615162,0.00025
LOC_Os04g35420,-0.685788189,0.0015
LOC_Os03g26870,-0.686140757,5.00E-05
LOC_Os03g49610,-0.687654465,0.01565
LOC_Os01g55340,-0.688425172,0.0006
LOC_Os01g68710,-0.689173785,5.00E-05
LOC_Os01g09150,-0.690270408,0.0051
LOC_Os06g47530,-0.690549301,5.00E-05
LOC_Os03g21710,-0.690971194,5.00E-05
LOC_Os12g08140,-0.691255976,5.00E-05
LOC_Os09g23590,-0.692666204,0.00225
LOC_Os06g12060,-0.69337505,0.00455
LOC_Os04g08330,-0.693389192,0.0062
LOC_Os01g72130,-0.695005114,0.0005
LOC_Os09g28530,-0.69516465,0.0045
LOC_Os05g46460,-0.695319748,5.00E-05
LOC_Os05g44170,-0.695335998,0.0109
LOC_Os12g36210,-0.695470191,0.022
LOC_Os04g41110,-0.695632431,0.0001
LOC_Os07g49360,-0.695726809,5.00E-05
LOC_Os02g57720,-0.695745468,5.00E-05
LOC_Os01g43050,-0.696132111,5.00E-05
LOC_Os03g28160,-0.69656094,0.0004
LOC_Os01g72120,-0.696841752,0.00605
LOC_Os08g37780,-0.697095363,0.0021
LOC_Os05g50090,-0.698098665,5.00E-05
LOC_Os06g28870,-0.698834208,0.02105
LOC_Os03g29240,-0.69950044,5.00E-05
LOC_Os05g07940,-0.700511184,5.00E-05
LOC_Os08g10500,-0.701780283,5.00E-05
LOC_Os10g22520,-0.70199661,5.00E-05
LOC_Os04g30930,-0.702612039,0.00375
LOC_Os05g16824,-0.702854521,5.00E-05
LOC_Os02g56370,-0.702942038,5.00E-05
LOC_Os09g32570,-0.703185456,0.00035
LOC_Os05g06460,-0.704743599,0.0003
LOC_Os03g60370,-0.705565375,5.00E-05
LOC_Os02g09050,-0.707229377,0.0085
LOC_Os02g04120,-0.7075375,0.0005
LOC_Os06g45140,-0.708588918,5.00E-05
LOC_Os04g39880,-0.710593856,5.00E-05
LOC_Os03g02260,-0.710650226,5.00E-05
LOC_Os06g05430,-0.711037375,0.00215
LOC_Os01g04860,-0.711873096,5.00E-05
LOC_Os02g32520,-0.713721572,5.00E-05
LOC_Os02g50710,-0.713821116,0.00165
LOC_Os05g27010,-0.714201147,5.00E-05
LOC_Os06g03830,-0.714436493,5.00E-05
LOC_Os01g65250,-0.7156048,0.0014
LOC_Os03g23010,-0.717180552,5.00E-05
LOC_Os09g26144,-0.717521424,5.00E-05
LOC_Os04g58090,-0.719132838,0.00455
LOC_Os06g21890,-0.720212697,0.0001
LOC_Os01g57340,-0.723966578,0.0029
LOC_Os03g09140,-0.724900402,5.00E-05
LOC_Os01g56420,-0.725815114,5.00E-05
LOC_Os01g72900,-0.725906186,0.0196
LOC_Os08g33400,-0.726413241,0.0007
LOC_Os07g14080,-0.726847351,0.02165
LOC_Os12g32820,-0.728014167,0.00265
LOC_Os12g03650,-0.728733857,0.00155
LOC_Os04g43750,-0.729679429,5.00E-05
LOC_Os03g55070,-0.730118396,5.00E-05
LOC_Os05g45320,-0.730417925,0.00095
LOC_Os08g36630,-0.730485258,0.00365
LOC_Os06g33970,-0.731187045,5.00E-05
LOC_Os12g37560,-0.731285205,0.00035
LOC_Os03g53800,-0.732034075,5.00E-05
LOC_Os05g48680,-0.732280151,0.01695
LOC_Os12g16720,-0.734297446,5.00E-05
LOC_Os11g04960,-0.73432326,0.0001
LOC_Os04g12980,-0.734582427,5.00E-05
LOC_Os06g38780,-0.736776297,0.00115
LOC_Os07g25460,-0.73691394,5.00E-05
LOC_Os12g05260,-0.736947197,5.00E-05
LOC_Os02g38840,-0.737346814,5.00E-05
LOC_Os04g32000,-0.737375372,0.014
LOC_Os05g34480,-0.738442901,0.0007
LOC_Os09g36790,-0.73884733,0.0196
LOC_Os09g28910,-0.740655378,5.00E-05
LOC_Os08g33210,-0.742006315,0.016
LOC_Os01g06510,-0.742305013,5.00E-05
LOC_Os12g05110,-0.742833158,5.00E-05
LOC_Os09g39740,-0.742961671,5.00E-05
LOC_Os12g42876,-0.743545628,5.00E-05
LOC_Os09g28354,-0.743723735,5.00E-05
LOC_Os09g30414,-0.745867586,5.00E-05
LOC_Os02g08490,-0.746967263,0.00115
LOC_Os10g42960,-0.748714945,5.00E-05
LOC_Os10g25030,-0.749515039,5.00E-05
LOC_Os02g07010,-0.750368064,5.00E-05
LOC_Os01g64470,-0.750705877,5.00E-05
LOC_Os01g36790,-0.751385192,0.0008
LOC_Os02g42150,-0.751885669,5.00E-05
LOC_Os05g01444,-0.752509154,0.0046
LOC_Os06g03810,-0.752702936,0.00785
LOC_Os03g10100,-0.752758953,5.00E-05
LOC_Os05g17604,-0.753795201,5.00E-05
LOC_Os08g31140,-0.753936957,5.00E-05
LOC_Os02g34600,-0.754618078,5.00E-05
LOC_Os07g46350,-0.754763212,5.00E-05
LOC_Os11g31950,-0.754851474,5.00E-05
LOC_Os01g36294,-0.755329104,0.00225
LOC_Os09g39620,-0.756088161,0.00095
LOC_Os03g20370,-0.75625228,5.00E-05
LOC_Os01g48020,-0.757150798,0.0038
LOC_Os04g13220,-0.757796157,5.00E-05
LOC_Os04g31790,-0.757983749,0.0001
LOC_Os05g33644,-0.758336767,0.00215
LOC_Os04g15690,-0.759556051,5.00E-05
LOC_Os06g10100,-0.761243996,0.00045
LOC_Os07g16970,-0.763524741,0.00025
LOC_Os01g42410,-0.763574592,5.00E-05
LOC_Os04g25650,-0.764231619,5.00E-05
LOC_Os03g01740,-0.764981028,5.00E-05
LOC_Os04g58390,-0.765253357,5.00E-05
LOC_Os11g40590,-0.76533577,5.00E-05
LOC_Os02g06560,-0.765645118,5.00E-05
LOC_Os01g61990,-0.766121792,5.00E-05
LOC_Os06g49000,-0.766329222,0.00205
LOC_Os10g40730,-0.766352433,0.0008
LOC_Os03g59480,-0.768241151,5.00E-05
LOC_Os07g33690,-0.768725775,0.0002
LOC_Os04g33240,-0.768866911,0.0023
LOC_Os11g40570,-0.769236741,5.00E-05
LOC_Os06g49760,-0.772399415,0.00845
LOC_Os03g60090,-0.773211905,5.00E-05
LOC_Os07g03870,-0.773244142,5.00E-05
LOC_Os09g04310,-0.776640979,5.00E-05
LOC_Os08g44830,-0.778765945,0.0011
LOC_Os07g01660,-0.778842633,0.0002
LOC_Os01g51670,-0.77995678,5.00E-05
LOC_Os01g62970,-0.780380527,5.00E-05
LOC_Os08g39160,-0.780468999,0.01615
LOC_Os09g09330,-0.781260163,0.0107
LOC_Os07g48050,-0.781592889,0.0052
LOC_Os05g48230,-0.781782499,5.00E-05
LOC_Os01g21160,-0.781845837,5.00E-05
LOC_Os10g31320,-0.782416798,0.0045
LOC_Os10g25290,-0.783678244,5.00E-05
LOC_Os09g25070,-0.783991317,5.00E-05
LOC_Os11g04954,-0.784800004,0.0051
LOC_Os01g17214,-0.789694106,0.0004
LOC_Os11g44700,-0.789700448,0.01525
LOC_Os08g35600,-0.790143218,0.0035
LOC_Os07g04040,-0.790798785,0.00225
LOC_Os03g09910,-0.791411403,0.002
LOC_Os02g03020,-0.791958077,5.00E-05
LOC_Os09g26880,-0.792261738,5.00E-05
LOC_Os08g23150,-0.792385363,5.00E-05
LOC_Os02g48860,-0.793899682,5.00E-05
LOC_Os04g59330,-0.793959005,0.003
LOC_Os01g74370,-0.794233667,0.00975
LOC_Os01g63480,-0.794840174,5.00E-05
LOC_Os01g23710,-0.796093052,5.00E-05
LOC_Os01g23580,-0.796578697,0.0071
LOC_Os04g52890,-0.797847036,0.0072
LOC_Os08g33440,-0.798017396,0.00015
LOC_Os11g47840,-0.799741747,0.00215
LOC_Os08g39730,-0.800950613,5.00E-05
LOC_Os10g40950,-0.801377826,5.00E-05
LOC_Os04g52730,-0.801995657,5.00E-05
LOC_Os07g35340,-0.803346958,5.00E-05
LOC_Os05g46480,-0.804444266,0.00175
LOC_Os05g31020,-0.804612157,0.0054
LOC_Os06g05910,-0.804772358,0.00055
LOC_Os03g16950,-0.80485941,5.00E-05
LOC_Os01g12420,-0.805236364,5.00E-05
LOC_Os05g08900,-0.805336691,5.00E-05
LOC_Os01g28030,-0.808263381,0.0084
LOC_Os12g40940,-0.810006382,0.0046
LOC_Os01g03390,-0.81091312,5.00E-05
LOC_Os04g48260,-0.812665028,0.0056
LOC_Os04g49170,-0.812837541,0.0123
LOC_Os07g18990,-0.812861015,5.00E-05
LOC_Os02g41590,-0.814374844,5.00E-05
LOC_Os01g59100,-0.815463768,5.00E-05
LOC_Os06g45570,-0.815660311,5.00E-05
LOC_Os01g02900,-0.815735243,5.00E-05
LOC_Os03g06200,-0.816459765,5.00E-05
LOC_Os01g41420,-0.820629781,0.00015
LOC_Os08g40530,-0.821159019,5.00E-05
LOC_Os02g43110,-0.821452351,0.00325
LOC_Os05g39930,-0.821924658,0.0005
LOC_Os01g66760,-0.823645002,0.02005
LOC_Os08g37104,-0.825100995,5.00E-05
LOC_Os01g43851,-0.825128206,0.0193
LOC_Os04g25060,-0.82531523,5.00E-05
LOC_Os03g59070,-0.82639901,5.00E-05
LOC_Os08g24750,-0.82708984,0.00215
LOC_Os12g39400,-0.832697065,0.00205
LOC_Os06g36050,-0.833429246,0.0178
LOC_Os01g11730,-0.834207459,0.00825
LOC_Os12g44230,-0.834386898,5.00E-05
LOC_Os09g31486,-0.834567636,5.00E-05
LOC_Os04g03920,-0.835329522,5.00E-05
LOC_Os01g72460,-0.835906349,5.00E-05
LOC_Os10g03320,-0.836625997,5.00E-05
LOC_Os12g11370,-0.836733032,5.00E-05
LOC_Os10g41000,-0.836781519,0.0005
LOC_Os02g13900,-0.83776165,0.0016
LOC_Os03g13210,-0.838120944,5.00E-05
LOC_Os01g19020,-0.838461957,0.0055
LOC_Os07g41230,-0.839107403,5.00E-05
LOC_Os02g39884,-0.839623562,0.00035
LOC_Os12g33300,-0.83989541,0.00175
LOC_Os06g10210,-0.840250456,5.00E-05
LOC_Os03g02514,-0.840757771,5.00E-05
LOC_Os02g46910,-0.841510844,0.00095
LOC_Os10g33050,-0.841798527,0.01815
LOC_Os08g08690,-0.842129219,0.01995
LOC_Os02g08100,-0.842540929,5.00E-05
LOC_Os07g34964,-0.842762038,0.00095
LOC_Os11g31530,-0.843320407,0.00135
LOC_Os03g20600,-0.845279739,0.00415
LOC_Os02g53400,-0.845748731,0.0013
LOC_Os12g36110,-0.846057369,5.00E-05
LOC_Os04g59210,-0.846734822,5.00E-05
LOC_Os08g06170,-0.847742706,0.00085
LOC_Os05g38890,-0.847810381,5.00E-05
LOC_Os04g01310,-0.853201671,5.00E-05
LOC_Os06g45670,-0.853496954,0.0041
LOC_Os01g18400,-0.853511995,5.00E-05
LOC_Os01g26390,-0.854096963,0.00105
LOC_Os12g03260,-0.855099381,0.0085
LOC_Os12g38770,-0.855423787,5.00E-05
LOC_Os07g11790,-0.855734247,0.00065
LOC_Os08g26350,-0.855962375,0.02065
LOC_Os01g47840,-0.857127918,5.00E-05
LOC_Os07g35750,-0.85979875,5.00E-05
LOC_Os07g43800,-0.8633066,0.0001
LOC_Os01g49560,-0.864621137,0.01305
LOC_Os02g48870,-0.865000449,5.00E-05
LOC_Os04g52810,-0.867638252,0.01065
LOC_Os06g35960,-0.869400532,0.00715
LOC_Os11g44430,-0.871521147,0.00085
LOC_Os09g23595,-0.871677358,0.0066
LOC_Os03g27030,-0.871765703,0.01345
LOC_Os11g01830,-0.87182941,0.0014
LOC_Os12g37760,-0.872081879,5.00E-05
LOC_Os03g20550,-0.872417291,0.0001
LOC_Os05g45050,-0.872788305,0.0005
LOC_Os06g48520,-0.874641534,0.00355
LOC_Os01g48360,-0.874795711,5.00E-05
