,log2FC,padj
LOC_Os08g14000,2.520201736,5.00E-05
LOC_Os07g34870,2.519865307,0.0186
LOC_Os08g30080,2.512436385,0.00155
LOC_Os06g45710,2.510993725,5.00E-05
LOC_Os03g64320,2.507210658,5.00E-05
LOC_Os04g52820,2.504563603,5.00E-05
LOC_Os09g26670,2.504392067,5.00E-05
LOC_Os12g02500,2.494763719,0.00155
LOC_Os12g02420,2.494683304,5.00E-05
LOC_Os01g10890,2.492348838,5.00E-05
LOC_Os03g12990,2.490848234,5.00E-05
LOC_Os02g13800,2.47960866,5.00E-05
LOC_Os11g17380,2.469784193,5.00E-05
LOC_Os01g67630,2.467731337,5.00E-05
LOC_Os01g19970,2.467552141,5.00E-05
LOC_Os06g01340,2.465028005,0.0135
LOC_Os01g18860,2.453217403,0.0006
LOC_Os09g25430,2.451219172,0.0007
LOC_Os08g08440,2.450828618,5.00E-05
LOC_Os07g27810,2.446229518,5.00E-05
LOC_Os03g19290,2.444445315,5.00E-05
LOC_Os07g25810,2.440358799,0.00075
LOC_Os02g06360,2.436471561,5.00E-05
LOC_Os11g10710,2.436257669,0.00415
LOC_Os03g51920,2.4346172,5.00E-05
LOC_Os02g41860,2.433312029,5.00E-05
LOC_Os02g30100,2.42964222,5.00E-05
LOC_Os01g12000,2.428227244,5.00E-05
LOC_Os03g59430,2.427955244,0.0001
LOC_Os08g33710,2.427536249,5.00E-05
LOC_Os07g33580,2.425662034,5.00E-05
LOC_Os05g42080,2.413209163,0.00415
LOC_Os12g40260,2.409060578,5.00E-05
LOC_Os05g31750,2.403972519,5.00E-05
LOC_Os07g47210,2.402228853,0.00745
LOC_Os09g15480,2.401499406,0.0004
LOC_Os05g49140,2.394925315,5.00E-05
LOC_Os11g33270,2.389015119,5.00E-05
LOC_Os05g49480,2.387239006,0.0045
LOC_Os07g46930,2.386761187,0.00465
LOC_Os06g30920,2.384802485,0.01245
LOC_Os02g30470,2.384050919,0.0024
LOC_Os05g48270,2.382117803,5.00E-05
LOC_Os04g47140,2.382101497,5.00E-05
LOC_Os08g43270,2.381825183,5.00E-05
LOC_Os03g19990,2.380547987,5.00E-05
LOC_Os05g39250,2.377642325,5.00E-05
LOC_Os01g21960,2.37510072,5.00E-05
LOC_Os12g37320,2.373266829,5.00E-05
LOC_Os01g02940,2.367387101,5.00E-05
LOC_Os01g09880,2.365080961,5.00E-05
LOC_Os01g03290,2.357256361,0.00015
LOC_Os10g02410,2.349904105,5.00E-05
LOC_Os07g40130,2.34648399,5.00E-05
LOC_Os10g31330,2.345849471,5.00E-05
LOC_Os07g04430,2.345138692,0.00135
LOC_Os03g15270,2.345056002,5.00E-05
LOC_Os09g28660,2.341988472,0.0189
LOC_Os03g17810,2.339759845,0.004
LOC_Os04g45270,2.338140763,0.00065
LOC_Os01g55820,2.33784824,0.00145
LOC_Os05g16430,2.331409062,5.00E-05
LOC_Os03g14420,2.324426916,0.001
LOC_Os07g28000,2.324159389,0.0001
LOC_Os01g50530,2.32283143,0.0004
LOC_Os03g13540,2.319842746,5.00E-05
LOC_Os02g32860,2.318238046,5.00E-05
LOC_Os09g22090,2.316221828,5.00E-05
LOC_Os02g02930,2.312376511,5.00E-05
LOC_Os01g06580,2.311078531,5.00E-05
LOC_Os11g04150,2.30785707,0.0015
LOC_Os01g16200,2.305023067,0.0019
LOC_Os04g43380,2.304590812,5.00E-05
LOC_Os01g69200,2.298426323,5.00E-05
LOC_Os09g26530,2.291193206,5.00E-05
LOC_Os09g23620,2.2864379,0.0018
LOC_Os02g04540,2.281564807,5.00E-05
LOC_Os05g18294,2.27797431,0.0001
LOC_Os01g03390,2.275468852,5.00E-05
LOC_Os03g15460,2.269212226,5.00E-05
LOC_Os10g21590,2.265537532,5.00E-05
LOC_Os01g68650,2.259108913,0.00545
LOC_Os06g48200,2.257199812,5.00E-05
LOC_Os04g50700,2.256314969,0.021
LOC_Os04g55570,2.256123363,5.00E-05
LOC_Os04g11524,2.25196304,5.00E-05
LOC_Os12g26880,2.250163416,0.00225
LOC_Os09g27820,2.250154727,5.00E-05
LOC_Os07g16970,2.249823728,5.00E-05
LOC_Os05g04820,2.248592328,5.00E-05
LOC_Os11g02570,2.245662201,0.00035
LOC_Os12g12880,2.240869961,5.00E-05
LOC_Os03g58940,2.239682071,5.00E-05
LOC_Os11g03780,2.235591983,5.00E-05
LOC_Os06g46500,2.234556986,0.0001
LOC_Os10g38080,2.229191826,5.00E-05
LOC_Os09g26200,2.229183779,0.00035
LOC_Os07g47750,2.225862649,0.00075
LOC_Os01g67540,2.219525776,5.00E-05
LOC_Os10g41130,2.217998425,0.0004
LOC_Os01g18744,2.217056499,5.00E-05
LOC_Os05g49700,2.215690509,5.00E-05
LOC_Os11g02520,2.215235131,5.00E-05
LOC_Os11g18570,2.201522765,5.00E-05
LOC_Os07g27350,2.201217475,5.00E-05
LOC_Os07g04990,2.198296209,5.00E-05
LOC_Os05g32110,2.198090989,5.00E-05
LOC_Os12g40940,2.198010471,5.00E-05
LOC_Os03g42810,2.196195617,5.00E-05
LOC_Os04g35100,2.195444099,5.00E-05
LOC_Os03g14030,2.195353159,0.0001
LOC_Os12g07210,2.19324,5.00E-05
LOC_Os05g38530,2.191561401,5.00E-05
LOC_Os06g34940,2.191011818,5.00E-05
LOC_Os11g02480,2.189543542,5.00E-05
LOC_Os12g15530,2.188144845,5.00E-05
LOC_Os05g49300,2.187390225,5.00E-05
LOC_Os05g08370,2.186044428,5.00E-05
LOC_Os02g07830,2.184863862,5.00E-05
LOC_Os01g32364,2.183056578,5.00E-05
LOC_Os05g04380,2.18231777,5.00E-05
LOC_Os01g12580,2.181368893,0.00045
LOC_Os02g43820,2.17274111,5.00E-05
LOC_Os03g48310,2.168333457,5.00E-05
LOC_Os01g65690,2.161854298,0.0028
LOC_Os05g31020,2.16120498,5.00E-05
LOC_Os01g11620,2.160905425,5.00E-05
LOC_Os07g46280,2.158253184,5.00E-05
LOC_Os04g01140,2.155625054,5.00E-05
LOC_Os03g22634,2.145283442,5.00E-05
LOC_Os07g47100,2.140736346,5.00E-05
LOC_Os01g19020,2.139807161,5.00E-05
LOC_Os02g36490,2.138498332,5.00E-05
LOC_Os08g04560,2.136985644,5.00E-05
LOC_Os01g08780,2.136067312,5.00E-05
LOC_Os03g47270,2.134795861,5.00E-05
LOC_Os03g10300,2.131953123,0.00215
LOC_Os02g47990,2.129396419,0.0022
LOC_Os03g45920,2.129082981,5.00E-05
LOC_Os06g06780,2.128659175,5.00E-05
LOC_Os08g06380,2.128201979,5.00E-05
LOC_Os06g39780,2.125078064,5.00E-05
LOC_Os07g26440,2.123516059,5.00E-05
LOC_Os10g02880,2.122352436,0.0019
LOC_Os08g36410,2.120560204,0.00305
LOC_Os11g24120,2.116989039,5.00E-05
LOC_Os08g29600,2.116675521,5.00E-05
LOC_Os12g12580,2.116328275,5.00E-05
LOC_Os03g08320,2.111026094,5.00E-05
LOC_Os04g51820,2.110841696,5.00E-05
LOC_Os12g07810,2.109262487,5.00E-05
LOC_Os02g33330,2.107108942,5.00E-05
LOC_Os07g03880,2.103347857,5.00E-05
LOC_Os05g42210,2.1027224,5.00E-05
LOC_Os07g24190,2.101732661,5.00E-05
LOC_Os07g43990,2.10094739,5.00E-05
LOC_Os04g48070,2.089858103,5.00E-05
