,log2FC,padj
LOC_Os01g64949,2.083376533,0.040683222
LOC_Os01g71400,2.083376533,0.040683222
LOC_Os03g26930,2.071981737,0.033712064
LOC_Os01g52320,2.066470597,0.028272149
LOC_Os10g39680,2.0471888,0.018060057
LOC_Os07g02630,2.044670029,0.036710999
LOC_Os06g16040,2.039479847,0.040195758
LOC_Os03g62480,2.027915975,0.040195758
LOC_Os08g10290,2.021880121,0.024223126
LOC_Os03g03450,2.016566407,0.020367818
LOC_Os02g32970,2.014833754,0.022572062
LOC_Os01g03360,2.005273564,0.027117391
LOC_Os01g57854,2.004746324,0.038514034
LOC_Os07g34070,2.002106662,0.028037998
LOC_Os09g34160,2.001062778,0.029339375
LOC_Os06g12150,1.984651247,0.034920175
LOC_Os08g36630,1.980710683,0.045516199
LOC_Os09g20090,1.973036588,0.02581051
LOC_Os07g09420,1.972565839,0.023516933
LOC_Os06g09980,1.970862567,0.036270672
LOC_Os01g52340,1.953451866,0.038514034
LOC_Os07g46920,1.949329995,0.024278574
LOC_Os07g46930,1.929383028,0.029864197
LOC_Os10g21660,1.926633167,0.041589141
LOC_Os01g04040,1.926301793,0.032184544
LOC_Os03g51910,1.922295144,0.036734583
LOC_Os04g59200,1.921837215,0.029075056
LOC_Os01g22352,1.909882725,0.043504057
LOC_Os04g54080,1.895751943,0.033886076
LOC_Os11g02520,1.89437161,0.030574091
LOC_Os01g71350,1.886074336,0.033161012
LOC_Os12g05690,1.885135688,0.043436716
LOC_Os08g04630,1.88206954,0.031746665
LOC_Os01g45914,1.853598676,0.037539554
LOC_Os07g23430,1.853243943,0.046614981
LOC_Os05g37190,1.839209331,0.047111638
LOC_Os08g04340,1.822548056,0.045900038
LOC_Os01g72460,1.821930366,0.038848819
LOC_Os05g46840,1.821004924,0.042143951
LOC_Os12g37260,1.815725651,0.034365731
LOC_Os07g33440,1.809627341,0.04189955
LOC_Os01g58350,1.807530836,0.045164362
LOC_Os10g39700,1.801675368,0.037210368
LOC_Os07g11970,1.799894423,0.03985081
LOC_Os04g27020,1.798086959,0.03993097
LOC_Os05g49940,1.789286895,0.044427977
LOC_Os07g17330,1.784604364,0.03877157
LOC_Os07g34260,1.783965968,0.040451432
LOC_Os04g03850,1.781599247,0.041790913
LOC_Os04g56040,1.779973466,0.048146631
LOC_Os07g34006,1.77238082,0.040241695
LOC_Os12g02470,1.760339479,0.043719048
LOC_Os04g52504,1.739086076,0.049069058
LOC_Os07g33954,1.728923304,0.045532131
LOC_Os01g03680,1.688091543,0.04969481
LOC_Os12g37350,1.678287877,0.049795958
LOC_Os05g51620,-1.704057384,0.04817096
LOC_Os04g41540,-1.731944176,0.048906592
LOC_Os02g46460,-1.733183723,0.047479441
LOC_Os04g32850,-1.753435299,0.041330132
LOC_Os09g27820,-1.761669528,0.045304361
LOC_Os01g72610,-1.76208258,0.040637422
LOC_Os10g32980,-1.766437554,0.042991527
LOC_Os03g56220,-1.771517063,0.041957214
LOC_Os10g12050,-1.776338812,0.042991527
