,log2FC,padj
LOC_Os02g50110,2.106711515,0.003872179
LOC_Os03g05290,2.106430201,0.028199558
LOC_Os03g30530,2.104944706,0.000516841
LOC_Os05g09550,2.103730581,8.52E-06
LOC_Os01g74450,2.088892629,0.002592891
LOC_Os08g14880,2.075187899,6.39E-05
LOC_Os01g48620,2.069403502,1.50E-06
LOC_Os04g30010,2.058908029,0.044272909
LOC_Os04g32740,2.056318018,1.04E-06
LOC_Os06g22390,2.04780655,0.008644043
LOC_Os12g43580,2.04223437,0.00066795
LOC_Os03g51479,2.037114486,0.008976408
LOC_Os11g30760,2.03622782,1.20E-05
LOC_Os03g08999,2.009231945,1.54E-10
LOC_Os02g54254,2.003714821,0.033566361
LOC_Os01g22249,2.003146953,4.60E-10
LOC_Os06g35060,2.000744638,0.014108678
LOC_Os06g36390,1.999370668,5.07E-05
LOC_Os11g05800,1.990484712,4.95E-05
LOC_Os03g38350,1.989827684,0.001755516
LOC_Os03g16860,1.970161344,0.000575879
LOC_Os10g42040,1.970002825,0.00025282
LOC_Os02g32520,1.968323214,4.31E-11
LOC_Os08g39140,1.966679695,4.01E-05
LOC_Os09g38020,1.964198166,5.22E-06
LOC_Os02g57280,1.964038067,8.95E-05
LOC_Os02g11760,1.960942157,3.93E-07
LOC_Os02g33670,1.943111529,0.031576602
LOC_Os01g03340,1.942270011,0.001276157
LOC_Os12g05440,1.942078818,0.002125116
LOC_Os02g26794,1.936826416,0.023200186
LOC_Os01g41240,1.934917659,3.83E-08
LOC_Os05g04700,1.934692818,0.017468978
LOC_Os06g35930,1.933097274,0.043443761
LOC_Os02g49480,1.924171436,0.008293571
LOC_Os02g14440,1.920300161,4.81E-05
LOC_Os06g04020,1.919082324,8.26E-05
LOC_Os04g01510,1.91883683,0.000292839
LOC_Os09g27830,1.915741069,2.34E-05
LOC_Os09g08120,1.9056692,0.031466565
LOC_Os03g06654,1.902534676,0.002911549
LOC_Os08g39660,1.897007089,0.031825548
LOC_Os07g26660,1.895896881,0.00156536
LOC_Os01g32780,1.890413419,0.00110852
LOC_Os02g52730,1.890364554,0.004798778
LOC_Os03g24820,1.888297822,1.87E-05
LOC_Os01g72910,1.887372016,0.000431932
LOC_Os07g16364,1.886418069,0.001289977
LOC_Os05g39250,1.882872993,0.016343864
LOC_Os12g39320,1.877911219,0.006078512
LOC_Os08g04340,1.876895612,0.015087698
LOC_Os12g41710,1.871837278,0.002584869
LOC_Os09g04960,1.867975471,3.90E-05
LOC_Os04g03164,1.867189067,5.93E-08
LOC_Os06g50300,1.861251579,1.66E-09
LOC_Os06g07030,1.859804067,0.004435758
LOC_Os06g05430,1.85244689,0.005878456
LOC_Os02g41840,1.829342809,0.000303959
LOC_Os02g43020,1.828524026,2.25E-06
LOC_Os07g03730,1.823581385,0.024990163
LOC_Os02g11130,1.821267102,0.000401
LOC_Os02g02970,1.811475112,0.025186663
LOC_Os09g25060,1.797409759,3.97E-05
LOC_Os04g05650,1.787657656,5.52E-06
LOC_Os08g14195,1.781760052,0.001511301
LOC_Os06g03930,1.78094561,3.18E-08
LOC_Os10g35070,1.77836046,0.00646609
LOC_Os02g37590,1.778080273,0.002766225
LOC_Os01g51870,1.77186796,3.45E-06
LOC_Os06g15680,1.771011961,0.004604211
LOC_Os08g35630,1.764944704,0.010966101
LOC_Os11g37210,1.764942113,0.000582248
LOC_Os10g23050,1.760538174,0.000527504
LOC_Os01g64730,1.755616314,0.006518192
LOC_Os10g39100,1.755372598,0.003056206
LOC_Os05g45320,1.753555955,0.019908174
LOC_Os04g45520,1.751762496,0.016852541
LOC_Os10g38040,1.747749474,0.000339652
LOC_Os09g26530,1.742832184,2.85E-07
LOC_Os05g34150,1.741218728,8.22E-06
LOC_Os10g02380,1.738311091,0.004210478
LOC_Os01g72900,1.73492876,0.001715647
LOC_Os01g47570,1.732311648,0.040572373
LOC_Os11g28530,1.731415942,0.009178584
LOC_Os09g25430,1.727777402,0.027943528
LOC_Os11g08300,1.722485034,9.65E-05
LOC_Os01g21420,1.721831732,0.000114767
LOC_Os10g33240,1.702829799,0.044524869
LOC_Os06g05470,1.700032136,0.004975064
LOC_Os12g17160,1.689840951,0.03188333
LOC_Os07g04040,1.686645684,0.007862472
LOC_Os05g27010,1.685722553,8.89E-06
LOC_Os06g50230,1.675383588,1.45E-07
LOC_Os07g27350,1.675117842,0.000129747
LOC_Os06g39260,1.665242784,8.87E-05
LOC_Os02g40200,1.661827825,0.000538049
LOC_Os03g29190,1.64444285,0.000434622
LOC_Os03g15890,1.6434117,2.01E-06
LOC_Os06g48300,1.640829577,0.005879586
LOC_Os05g48680,1.640541842,7.87E-05
LOC_Os09g27680,1.63574322,6.77E-05
LOC_Os12g09720,1.632159335,0.000331484
LOC_Os08g39850,1.63086231,0.00476088
LOC_Os02g02410,1.630821529,1.45E-07
LOC_Os02g36490,1.62971199,4.56E-06
LOC_Os08g33190,1.627936364,0.000660712
LOC_Os01g09190,1.626500728,0.001774884
LOC_Os04g49370,1.625974349,2.32E-08
LOC_Os09g26880,1.624627324,8.07E-08
LOC_Os02g18080,1.621101678,0.002158252
LOC_Os12g36830,1.615145937,0.002940549
LOC_Os04g25060,1.613861268,0.030454366
LOC_Os07g06850,1.613085097,1.61E-05
LOC_Os11g15040,1.612657258,1.09E-05
LOC_Os11g14140,1.609499368,0.001503853
LOC_Os01g58350,1.605032407,0.010244407
LOC_Os10g28050,1.597527724,1.56E-06
LOC_Os03g20870,1.596129222,0.002265573
LOC_Os08g39840,1.596086601,0.002027378
LOC_Os09g37330,1.595746853,1.93E-06
LOC_Os11g25780,1.594600918,0.002233723
LOC_Os05g25390,1.594424068,0.001404084
LOC_Os03g21060,1.591388456,3.28E-07
LOC_Os05g40010,1.590990253,0.017249313
LOC_Os10g22050,1.590353411,0.044410105
LOC_Os07g37620,1.587367848,0.003063226
LOC_Os05g16930,1.585370951,0.022496189
LOC_Os06g05740,1.584527865,0.003485362
LOC_Os07g35510,1.58192689,4.83E-07
LOC_Os08g37660,1.580929108,0.004859551
LOC_Os11g44630,1.578774268,0.042306809
LOC_Os12g32390,1.574105603,0.03791044
LOC_Os06g12530,1.573552065,0.002295141
LOC_Os04g22660,1.573495516,0.000104405
LOC_Os10g41999,1.566221589,1.64E-05
LOC_Os01g09640,1.562496321,7.33E-05
LOC_Os08g30510,1.560111774,0.003232648
LOC_Os09g17560,1.55896366,0.005695986
LOC_Os10g40934,1.558409225,0.000686648
LOC_Os07g02330,1.546437806,0.000214453
LOC_Os02g52380,1.545616006,0.007525321
LOC_Os10g10480,1.545066023,0.005901062
LOC_Os01g04590,1.544710822,5.12E-05
LOC_Os12g41680,1.539835157,0.00469127
LOC_Os06g38660,1.534623212,9.58E-05
LOC_Os05g49700,1.527951328,0.000818919
LOC_Os07g13810,1.52682033,0.003815223
LOC_Os11g09020,1.526291159,0.002552573
LOC_Os07g44130,1.525585216,3.34E-06
LOC_Os04g32620,1.523617083,3.83E-05
LOC_Os01g41820,1.522834232,0.009007522
LOC_Os01g53730,1.521274516,1.15E-06
LOC_Os02g13810,1.521189881,0.010396257
LOC_Os07g03170,1.520977914,0.016679205
LOC_Os01g62290,1.518771601,0.025005294
LOC_Os05g50470,1.51842161,0.017124803
LOC_Os06g39110,1.517447423,4.47E-06
LOC_Os11g01480,1.51663532,0.000686517
LOC_Os02g55600,1.516186679,0.000251493
LOC_Os02g41860,1.515813157,0.002222999
LOC_Os11g07950,1.515332495,0.001975555
LOC_Os12g05690,1.505559106,0.001386075
LOC_Os04g06590,1.503042117,0.018757273
LOC_Os03g18680,1.497616387,0.001209487
LOC_Os02g45940,1.496607934,0.003741181
LOC_Os07g08950,1.495691101,5.66E-05
LOC_Os04g52810,1.488490854,0.011129739
LOC_Os05g44770,1.486288869,7.12E-06
LOC_Os01g01840,1.483154681,0.012311029
LOC_Os02g04640,1.48064969,0.008548617
LOC_Os04g44950,1.479380549,0.015755576
LOC_Os02g44630,1.478181414,0.000152083
LOC_Os01g02560,1.476745009,0.002562046
LOC_Os05g05640,1.475090608,0.049759266
LOC_Os03g52620,1.474405461,0.035260338
LOC_Os11g39160,1.473775383,0.039443713
LOC_Os12g01490,1.469614985,0.001021576
LOC_Os03g20090,1.467923937,0.000285566
LOC_Os03g20949,1.458334887,8.81E-05
LOC_Os05g43390,1.448752296,0.00041131
LOC_Os03g29960,1.447220158,0.000413272
LOC_Os09g31478,1.44411934,2.98E-05
LOC_Os03g25770,1.443869922,0.00208607
LOC_Os09g24620,1.443454283,4.90E-06
LOC_Os03g59070,1.443366318,0.002092967
LOC_Os08g16790,1.441980645,0.005236864
LOC_Os04g01590,1.436560046,6.66E-05
LOC_Os03g17870,1.434379927,0.04521979
LOC_Os11g37960,1.434072421,0.000511909
LOC_Os05g07880,1.42995624,0.02467626
LOC_Os04g54210,1.429051417,0.000568872
LOC_Os03g37570,1.428536274,2.69E-05
LOC_Os01g73110,1.427570404,0.007087943
LOC_Os01g71624,1.426352899,5.75E-06
LOC_Os05g46520,1.424595375,0.000760598
LOC_Os10g41838,1.424210684,0.000878325
LOC_Os01g05630,1.422990224,7.13E-05
LOC_Os01g51050,1.419452496,0.017331728
LOC_Os05g51240,1.418456004,0.002798481
LOC_Os01g11910,1.409675584,3.38E-05
LOC_Os07g37210,1.406222855,0.049831217
LOC_Os04g45690,1.406168386,4.33E-05
LOC_Os01g64110,1.405222149,8.05E-06
LOC_Os11g13670,1.404363054,0.000915755
LOC_Os01g11240,1.403555245,0.024682018
LOC_Os11g39370,1.403205996,3.60E-06
LOC_Os12g11370,1.400845956,0.007464287
LOC_Os04g32950,1.396822046,3.58E-06
LOC_Os05g50190,1.39661807,0.001162487
LOC_Os03g21710,1.395589482,0.008716259
LOC_Os03g05900,1.395299781,0.000753292
LOC_Os02g45930,1.391613263,1.18E-06
LOC_Os05g03740,1.39010695,0.04953856
LOC_Os05g27050,1.389044406,9.66E-05
LOC_Os07g09610,1.385624629,0.011104732
LOC_Os09g20090,1.384047099,0.018377187
LOC_Os05g36930,1.380115504,0.033701828
LOC_Os01g63690,1.379911142,1.88E-05
LOC_Os01g10440,1.379529193,0.015114477
LOC_Os09g27950,1.370714814,7.92E-05
LOC_Os06g39370,1.370637621,0.002250752
LOC_Os10g32770,1.368743733,0.001408145
LOC_Os08g44390,1.359863151,0.020448928
LOC_Os05g46690,1.3549439,0.03202409
LOC_Os07g48550,1.354795782,7.51E-06
LOC_Os01g56420,1.352374718,0.003248259
LOC_Os04g53720,1.348682522,0.043309286
LOC_Os09g39620,1.342355217,0.010604206
LOC_Os03g26870,1.341977432,0.001467797
LOC_Os02g34580,1.341774385,0.001460126
LOC_Os02g13430,1.339489247,0.004718903
LOC_Os01g03730,1.33423277,0.039441614
LOC_Os03g09880,1.328741756,0.007639997
LOC_Os03g62200,1.327054856,0.000135006
LOC_Os01g58890,1.326157518,0.004694943
LOC_Os01g36220,1.325730053,0.014629337
LOC_Os03g49440,1.321741944,0.016220526
LOC_Os08g36860,1.316812779,0.013736486
LOC_Os05g11900,1.313334817,0.00037226
LOC_Os01g14510,1.311411568,0.009609739
LOC_Os01g48950,1.309853511,0.048361591
LOC_Os01g61080,1.309135969,8.90E-05
LOC_Os12g03040,1.307268652,0.003444342
LOC_Os01g09665,1.307261093,0.031082489
LOC_Os06g05440,1.307131183,0.000204441
LOC_Os05g34854,1.296708356,0.012995813
LOC_Os03g55530,1.296409965,0.000194657
LOC_Os03g22230,1.296398304,0.042461807
LOC_Os05g15530,1.292883334,0.000126489
LOC_Os05g47660,1.292617574,0.020299841
LOC_Os07g28480,1.29096391,0.000767097
LOC_Os08g37020,1.290466042,0.000699029
LOC_Os02g49850,1.288350834,0.003151646
LOC_Os04g35540,1.287835721,0.01039101
LOC_Os02g30714,1.287560306,0.043550207
LOC_Os08g03350,1.286905005,1.74E-05
LOC_Os08g10500,1.284844817,0.011910628
LOC_Os01g19260,1.283178098,0.012813087
LOC_Os11g02480,1.281683752,0.00042017
LOC_Os08g29809,1.281116815,0.015358947
LOC_Os07g48830,1.280812607,3.55E-05
LOC_Os06g15730,1.280365854,2.13E-05
LOC_Os12g28015,1.280011014,0.001802807
LOC_Os01g69100,1.276744942,3.24E-05
LOC_Os12g43640,1.276253764,0.00016236
LOC_Os09g04160,1.274526728,0.000158345
LOC_Os03g58790,1.268946944,2.30E-05
LOC_Os02g42585,1.264774001,0.014194066
LOC_Os07g49470,1.263263441,0.029412264
LOC_Os09g36200,1.263090999,0.001443251
LOC_Os06g03580,1.26124953,0.000189619
LOC_Os12g02530,1.259583652,3.83E-05
LOC_Os10g33210,1.255135455,6.58E-05
LOC_Os09g17630,1.253110971,0.007894498
LOC_Os12g08260,1.248868212,2.24E-05
LOC_Os12g05260,1.248360627,3.90E-05
LOC_Os02g46610,1.24792441,2.80E-05
LOC_Os07g38800,1.247775317,0.000180351
LOC_Os12g01530,1.241845629,1.94E-05
LOC_Os01g45640,1.236140728,0.029494786
LOC_Os05g50100,1.233372358,0.001665662
LOC_Os01g58240,1.233038304,0.000852423
LOC_Os04g49748,1.232820092,0.000147091
LOC_Os01g27480,1.232506788,0.030077281
LOC_Os11g01530,1.231304571,1.87E-05
LOC_Os02g47980,1.231177821,0.035714376
LOC_Os05g35010,1.230932059,0.018112077
LOC_Os02g18000,1.22401975,0.036698549
LOC_Os01g51570,1.222139748,0.013753448
LOC_Os01g71350,1.220439768,0.000575675
LOC_Os06g21820,1.21970062,0.001622664
LOC_Os04g39350,1.21022555,0.001852836
LOC_Os07g48820,1.209840055,8.33E-05
LOC_Os01g52730,1.207897434,0.00463862
LOC_Os05g46020,1.207097754,0.001889562
LOC_Os02g04860,1.206178739,0.026733083
LOC_Os05g38270,1.203842249,0.000438556
LOC_Os10g10130,1.200311452,0.000394994
LOC_Os03g03370,1.198265539,0.011990886
LOC_Os03g60560,1.197916757,0.020578399
LOC_Os06g40030,1.196158938,0.014803587
LOC_Os11g40590,1.195006594,0.004490667
LOC_Os01g01890,1.194834775,0.036539273
LOC_Os11g05810,1.193161012,0.002646522
LOC_Os05g47650,1.191561139,0.019760237
LOC_Os02g03020,1.190348289,0.04895971
